Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
11126,Arenal,Confirmed,Correlation,Anthropology,4,750,,,,,
17099,Kirishimayama,Confirmed,Observations,Reported,3,742,12,28,,,
11531,Cotopaxi,Confirmed,Isotopic,14C (uncalibrated),4,740,,,,,
11620,Tungurahua,Confirmed,Isotopic,14C (uncalibrated),4,730,,,,,
14939,Karkar,Confirmed,Isotopic,14C (uncalibrated),4,730,,,,,
13883,Santorini,Confirmed,Observations,Reported,4,726,7,15,,,
17024,Ata,Confirmed,Correlation,Tephrochronology,4,720,,,,,
17431,Fujisan,Confirmed,Isotopic,14C (uncalibrated),2,720,,,,,
17046,Aira,Confirmed,Observations,Reported,3,716,,,718,,
18170,Izu-Oshima,Confirmed,Sidereal,Varve Count,3,713,,,,,
17045,Aira,Uncertain,Uncertain,Unspecified,3,712,,,,,
15016,Witori,Confirmed,Isotopic,14C (uncalibrated),6,710,,,,,
20876,Calbuco,Confirmed,Isotopic,14C (calibrated),4,710,,,,,
13772,Aira,Confirmed,Observations,Reported,3,708,,,,,
18169,Izu-Oshima,Confirmed,Sidereal,Varve Count,3,700,,,,,
20186,Aniakchak,Confirmed,Correlation,Tephrochronology,0,700,,,,,
19557,Sheveluch,Confirmed,Correlation,Tephrochronology,3,700,,,,,
19333,Bezymianny,Confirmed,Correlation,Tephrochronology,4,700,,,,,
14691,Raoul Island,Confirmed,Correlation,Tephrochronology,3,700,,,,,
11125,Arenal,Confirmed,Correlation,Tephrochronology,4,700,,,,,
11198,Irazu,Confirmed,Isotopic,14C (calibrated),3,690,,,,,
20608,Newberry,Confirmed,Isotopic,14C (calibrated),4,690,,,,,
15015,Witori,Confirmed,Isotopic,14C (calibrated),5,690,,,,,
17493,Yakedake,Confirmed,Observations,Reported,2,686,,,,,
17677,Asamayama,Confirmed,Uncertain,Unspecified,3,685,4,,,,
13314,Vesuvius,Confirmed,Observations,Reported,4,685,2,,685,3,
15084,Rabaul,Confirmed,Isotopic,14C (calibrated),6,683,,,,,
18167,Izu-Oshima,Confirmed,Observations,Reported,4,680,,,681,3,26
19877,Kilauea,Confirmed,Isotopic,14C (uncalibrated),1,680,,,,,
10164,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,680,,,,,
11275,"Ruiz, Nevado del",Confirmed,Isotopic,14C (uncalibrated),3,675,,,,,
13013,Sete Cidades,Confirmed,Isotopic,14C (uncalibrated),3,670,,,,,
17023,Ata,Confirmed,Correlation,Tephrochronology,4,660,,,,,
18166,Izu-Oshima,Confirmed,Observations,Reported,3,654,,,,,
15004,Dakataua,Confirmed,Isotopic,14C (uncalibrated),6,653,,,,,
14152,"Khaybar, Harrat",Confirmed,Observations,Reported,2,650,,,,,
19241,Krasheninnikov,Confirmed,Correlation,Tephrochronology,2,650,,,,,
19556,Sheveluch,Confirmed,Isotopic,14C (calibrated),5,650,,,,,
11124,Arenal,Confirmed,Isotopic,14C (calibrated),4,650,,,,,
21084,Tatun Volcanic Group,Confirmed,Isotopic,Uranium-series,0,648,,,,,
14153,"Rahat, Harrat",Confirmed,Observations,Reported,2,641,,,,,
10823,San Salvador,Confirmed,Isotopic,14C (calibrated),3,640,8,,,,
14843,Taveuni,Confirmed,Isotopic,14C (calibrated),2,640,,,,,
19555,Sheveluch,Confirmed,Correlation,Tephrochronology,3,630,,,,,
10163,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,630,,,,,
17492,Yakedake,Confirmed,Correlation,Tephrochronology,1,630,,,,,
18165,Izu-Oshima,Confirmed,Sidereal,Varve Count,3,625,,,,,
20670,Mono-Inyo Craters,Confirmed,Isotopic,14C (calibrated),4,620,,,,,
19033,Opala,Confirmed,Isotopic,14C (calibrated),5,610,,,,,
14214,"Fournaise, Piton de la",Confirmed,Isotopic,14C (calibrated),0,600,,,,,
17022,Ata,Confirmed,Correlation,Tephrochronology,4,600,,,,,
18164,Izu-Oshima,Confirmed,Sidereal,Varve Count,3,600,,,,,
10162,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,600,,,,,
19554,Sheveluch,Confirmed,Isotopic,14C (calibrated),5,600,,,,,
11619,Tungurahua,Confirmed,Isotopic,14C (uncalibrated),3,600,,,,,
10605,"Chichon, El",Confirmed,Isotopic,14C (calibrated),3,590,,,,,
19553,Sheveluch,Confirmed,Correlation,Tephrochronology,4,580,,,,,
18163,Izu-Oshima,Confirmed,Sidereal,Varve Count,3,580,,,,,
17196,Asosan,Uncertain,Uncertain,Unspecified,3,553,,,,,
17815,Harunasan,Confirmed,Correlation,Anthropology,5,550,6,1,,,
18717,Rausudake,Confirmed,Isotopic,14C (calibrated),4,550,,,,,
19009,Gorely,Confirmed,Correlation,Tephrochronology,3,550,,,,,
19209,Kikhpinych,Confirmed,Isotopic,14C (calibrated),3,550,,,,,
19285,Tolbachik,Confirmed,Correlation,Tephrochronology,3,550,,,,,
10161,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,550,,,,,
17021,Ata,Confirmed,Correlation,Tephrochronology,2,550,,,,,
13423,Stromboli,Confirmed,Observations,Reported,3,550,,,,,
14690,Raoul Island,Confirmed,Isotopic,14C (uncalibrated),4,550,,,,,
11123,Arenal,Confirmed,Correlation,Tephrochronology,4,550,,,,,
15581,Krakatau,Confirmed,Observations,Reported,4,535,,,,,
17430,Fujisan,Confirmed,Correlation,Tephrochronology,3,530,,,,,
19552,Sheveluch,Confirmed,Correlation,Tephrochronology,3,530,,,,,
13458,Vulcano,Confirmed,Observations,Reported,3,526,,,,,
17814,Harunasan,Confirmed,Correlation,Anthropology,4,520,6,1,,,
17429,Fujisan,Confirmed,Isotopic,14C (uncalibrated),2,520,,,,,
14842,Taveuni,Confirmed,Isotopic,14C (calibrated),2,520,,,,,
14938,Karkar,Confirmed,Isotopic,14C (uncalibrated),4,520,,,,,
13310,Vesuvius,Confirmed,Observations,Reported,4,512,7,8,,,
13309,Vesuvius,Uncertain,Uncertain,Unspecified,2,505,11,9,,,
